TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
1545932038191	115.362442	126.866631	-0.606560	0.999866	0.000046	0.002821	-0.016135	1.000000	-0.500000	0.000000	2	0	4183.106934	9.685077	img__0_1545932038188756300.png
1545932038268	116.000389	126.838150	-0.606556	0.999810	0.000621	0.002791	-0.019302	1.000000	-0.500000	0.000000	2	0	4213.673828	9.865407	img__0_1545932038264318100.png
1545932038338	116.637718	126.792931	-0.606528	0.999596	0.001904	0.002634	-0.028253	1.000000	-0.500000	0.000000	2	0	4250.657715	10.035452	img__0_1545932038335425800.png
1545932038412	117.283661	126.723480	-0.606498	0.999050	0.003798	0.002383	-0.043337	1.000000	-0.500000	0.000000	2	0	4291.502930	10.194024	img__0_1545932038409698900.png
1545932038487	117.936638	126.627289	-0.606486	0.998022	0.005851	0.002113	-0.062561	1.000000	-0.500000	0.000000	2	0	4329.103027	10.365894	img__0_1545932038484630900.png
1545932038561	118.596344	126.504532	-0.606477	0.996505	0.007709	0.001788	-0.083164	1.000000	-0.500000	0.000000	2	0	4366.690918	10.537869	img__0_1545932038558603800.png
1545932038629	119.261475	126.353989	-0.606467	0.994522	0.009312	0.001414	-0.104107	1.000000	-0.500000	0.000000	2	0	4405.188965	10.707450	img__0_1545932038627163300.png
1545932038705	119.930595	126.174606	-0.606456	0.992095	0.010650	0.001006	-0.125033	1.000000	-0.500000	0.000000	2	0	4444.601074	10.874640	img__0_1545932038702711100.png
1545932038779	120.602158	125.965630	-0.606445	0.989242	0.011733	0.000583	-0.145812	1.000000	-0.500000	0.000000	2	0	4484.763184	11.039948	img__0_1545932038777028900.png
1545932038858	121.274910	125.726540	-0.606435	0.985979	0.012583	0.000156	-0.166397	1.000000	-0.500000	0.000000	2	0	4521.810059	11.205812	img__0_1545932038855853800.png
1545932038928	121.948738	125.455925	-0.609095	0.982284	0.013324	0.000874	-0.186922	1.000000	-0.500000	0.000000	2	0	4569.598145	11.364114	img__0_1545932038926150700.png
1545932038997	122.619675	125.156128	-0.608850	0.978282	0.013835	0.000369	-0.206818	1.000000	-0.500000	0.000000	2	0	4611.460449	11.524719	img__0_1545932038994830500.png
1545932039069	123.287598	124.825455	-0.608793	0.973889	0.014236	-0.000061	-0.226579	1.000000	-0.500000	0.000000	2	0	4653.287598	11.684867	img__0_1545932039064646200.png
1545932039139	123.949745	124.464851	-0.611411	0.969139	0.014013	-0.001539	-0.246113	1.000000	-0.500000	0.000000	2	0	4694.766602	11.845167	img__0_1545932039136740900.png
1545932039212	124.607948	124.073189	-0.611187	0.963973	0.014351	-0.001848	-0.265608	1.000000	-0.500000	0.000000	2	0	4737.177734	12.003576	img__0_1545932039209578500.png
1545932039294	125.259056	123.650864	-0.611122	0.958518	0.014568	-0.002205	-0.284652	1.000000	-0.500000	0.000000	2	0	4779.854004	12.161067	img__0_1545932039290514200.png
